ncores,npoints,scalable,time
4,3600000,0,0.045057
6,9400000,0,0.067453
4,8600000,0,0.094455
12,3400000,0,0.019825
6,2800000,0,0.024912
1,6300000,0,0.238529
10,500000,0,0.008036
12,2100000,0,0.018937
4,6800000,0,0.071677
4,2400000,0,0.036711
8,1300000,0,0.011487
4,3200000,0,0.040994
10,2900000,0,0.020789
4,7500000,0,0.074147
12,5200000,0,0.021202
4,3400000,0,0.040066
8,2800000,0,0.023692
6,3100000,0,0.027241
4,3700000,0,0.043655
4,4300000,0,0.048756
8,2300000,0,0.021861
10,6400000,0,0.032426
12,3900000,0,0.023736
2,3200000,0,0.065432
12,2300000,0,0.015897
2,3000000,0,0.070947
12,5600000,0,0.031424
8,5500000,0,0.036344
4,8500000,0,0.088637
2,2600000,0,0.058627
1,9000000,0,0.331282
2,1300000,0,0.031014
8,7400000,0,0.046433
4,4800000,0,0.052929
12,6900000,0,0.028999
12,2600000,0,0.018023
6,3700000,0,0.031646
2,7200000,0,0.138738
6,2000000,0,0.023893
8,400000,0,0.003846
10,6500000,0,0.034312
10,8200000,0,0.04578
12,1500000,0,0.009415
12,3300000,0,0.019645
10,9300000,0,0.044911
10,6000000,0,0.03308
2,6200000,0,0.122018
2,3900000,0,0.075239
8,9700000,0,0.059382
12,5300000,0,0.030115
1,5800000,0,0.215537
4,7600000,0,0.076724
10,800000,0,0.007287
6,3400000,0,0.027548
2,5600000,0,0.113931
1,4300000,0,0.15877
2,8200000,0,0.160411
8,3100000,0,0.020549
12,600000,0,0.01172
12,7600000,0,0.0304
4,7300000,0,0.074097
2,2100000,0,0.047629
10,6100000,0,0.03161
8,1400000,0,0.013998
10,6800000,0,0.03694
1,2600000,0,0.101362
12,6500000,0,0.04406
6,2900000,0,0.02734
1,3500000,0,0.134287
12,100000,0,0.002369
6,6100000,0,0.047919
1,9900000,0,0.360487
8,6600000,0,0.038092
12,6200000,0,0.031404
2,100000,0,0.003512
6,1300000,0,0.015331
8,6000000,0,0.035762
12,200000,0,0.004173
1,3900000,0,0.146449
8,100000,0,0.00276
10,4900000,0,0.029042
12,2400000,0,0.01818
4,6500000,0,0.075001
6,4600000,0,0.039932
2,4100000,0,0.084898
12,5100000,0,0.025828
1,6100000,0,0.225611
10,9800000,0,0.048487
